Date	Open	High	Low	Close*	Adj Close**	Volume
Feb 13, 2017	20,338.54	20,639.87	20,322.95	20,624.05	20,624.05	1,750,320,000
Feb 06, 2017	20,025.61	20,298.21	20,002.81	20,269.37	20,269.37	1,479,340,000
Jan 30, 2017	20,028.62	20,081.48	19,784.77	20,071.46	20,071.46	1,809,140,000
Jan 23, 2017	19,794.79	20,125.58	19,732.36	20,093.78	20,093.78	1,773,250,000
Jan 16, 2017	19,848.82	19,882.99	19,677.94	19,827.25	19,827.25	1,358,670,000
Jan 09, 2017	19,931.41	19,973.42	19,770.47	19,885.73	19,885.73	1,493,140,000
Jan 02, 2017	19,872.86	19,999.63	19,775.93	19,963.80	19,963.80	1,166,810,000
Dec 26, 2016	19,943.46	19,981.11	19,718.67	19,762.60	19,762.60	790,840,000
Dec 19, 2016	19,836.66	19,987.63	19,832.95	19,933.81	19,933.81	1,259,580,000
Dec 12, 2016	19,770.20	19,966.43	19,747.74	19,843.41	19,843.41	2,061,330,000
Dec 05, 2016	19,244.35	19,757.74	19,184.74	19,756.85	19,756.85	1,647,000,000
Nov 28, 2016	19,122.14	19,225.29	19,062.22	19,170.42	19,170.42	528,260,000
Nov 21, 2016	18,898.68	19,152.14	18,883.10	19,152.14	19,152.14	289,600,000
Nov 14, 2016	18,876.77	18,934.05	18,806.06	18,867.93	18,867.93	500,050,000
Nov 07, 2016	17,994.64	18,873.66	17,994.64	18,847.66	18,847.66	618,070,000
Oct 31, 2016	18,176.60	18,193.68	17,883.56	17,888.28	17,888.28	475,590,000
Oct 24, 2016	18,197.14	18,275.04	18,062.30	18,161.19	18,161.19	449,450,000
Oct 17, 2016	18,135.85	18,252.20	18,049.77	18,145.71	18,145.71	445,240,000
Oct 10, 2016	18,282.95	18,399.96	17,959.95	18,138.38	18,138.38	403,160,000
Oct 03, 2016	18,279.60	18,319.73	18,116.26	18,240.49	18,240.49	385,760,000
Sep 26, 2016	18,217.76	18,369.62	18,052.16	18,308.15	18,308.15	508,640,000
Sep 19, 2016	18,154.82	18,449.88	18,093.05	18,261.45	18,261.45	404,830,000
Sep 12, 2016	18,028.95	18,358.69	17,992.21	18,123.80	18,123.80	687,510,000
Sep 05, 2016	18,493.40	18,551.54	18,085.45	18,085.45	18,085.45	351,010,000
Aug 29, 2016	18,421.29	18,544.76	18,295.48	18,491.96	18,491.96	380,780,000
Aug 22, 2016	18,535.86	18,631.60	18,335.34	18,395.40	18,395.40	362,920,000
Aug 15, 2016	18,588.59	18,722.61	18,468.68	18,552.57	18,552.57	364,830,000
Aug 08, 2016	18,541.89	18,638.34	18,468.78	18,576.47	18,576.47	327,730,000
Aug 01, 2016	18,434.50	18,543.53	18,247.79	18,543.53	18,543.53	408,620,000
Jul 25, 2016	18,554.49	18,555.69	18,368.82	18,432.24	18,432.24	470,850,000
Jul 18, 2016	18,521.55	18,622.01	18,469.67	18,570.85	18,570.85	429,120,000
Jul 11, 2016	18,161.53	18,557.43	18,161.53	18,516.55	18,516.55	462,710,000
Jul 04, 2016	17,904.45	18,166.77	17,713.45	18,146.74	18,146.74	371,680,000
Jun 27, 2016	17,355.21	18,002.38	17,063.08	17,949.37	17,949.37	572,500,000
Jun 20, 2016	17,736.87	18,011.07	17,356.34	17,400.75	17,400.75	611,020,000
Jun 13, 2016	17,830.50	17,893.28	17,471.29	17,675.16	17,675.16	630,190,000
Jun 06, 2016	17,825.69	18,016.00	17,812.34	17,865.34	17,865.34	382,110,000
May 30, 2016	17,891.50	17,899.24	17,664.79	17,807.06	17,807.06	383,750,000
May 23, 2016	17,507.04	17,891.71	17,480.05	17,873.22	17,873.22	395,580,000
May 16, 2016	17,531.76	17,755.80	17,331.07	17,500.94	17,500.94	478,340,000
May 09, 2016	17,743.85	17,934.61	17,512.48	17,535.32	17,535.32	423,970,000
May 02, 2016	17,783.78	17,912.35	17,580.38	17,740.63	17,740.63	433,730,000
Apr 25, 2016	17,990.94	18,084.66	17,651.98	17,773.64	17,773.64	523,020,000
Apr 18, 2016	17,890.20	18,167.63	17,848.22	18,003.75	18,003.75	516,260,000
Apr 11, 2016	17,586.48	17,962.14	17,553.57	17,897.46	17,897.46	482,500,000
Apr 04, 2016	17,799.39	17,806.38	17,484.23	17,576.96	17,576.96	469,980,000
